"RealSetNum","RealRepNum","RepNum","Model","AgentStepTime","NumAgents","Neighbors","FractionInformed","AvoidRadius","AlignRadius","AttractRadius","AlignYIntercept","ObstacleRadius","ObsVisibility","TurnRate","AvoidWeight","AlignWeight","AttractWeight","ObstacleWeight","numCaught","MeanGoalTime","MedianGoalTime","NumSucceed","SuccessRate","meanPersY","meanPersX","whichParam","flockingEscape"
"149","34",28,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.91887138471284,6.35111209358486,"AlignWeight",0
"149","35",29,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.82194483023758,6.48380990899536,"AlignWeight",0
"149","36",30,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,4.02491865302853,6.49432116068959,"AlignWeight",0
"149","37",31,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.79731979052464,6.3684956783058,"AlignWeight",0
"149","38",32,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.80966079349921,6.36711950152385,"AlignWeight",0
"149","39",33,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.41088178822864,6.42440038186805,"AlignWeight",0
"149","4",34,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.360272804366,6.36153071461862,"AlignWeight",0
"149","40",35,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.27052905570349,6.27415551010637,"AlignWeight",0
"149","41",36,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.12137887644834,6.22651429058629,"AlignWeight",0
"149","42",37,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.74159079170394,6.50457221378643,"AlignWeight",0
"149","43",38,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,4.2873658961541,6.5640902841531,"AlignWeight",0
"149","44",39,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,4.00121967506455,6.62399114829911,"AlignWeight",0
"149","45",40,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.66539605797592,6.3605121305565,"AlignWeight",0
"149","46",41,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,4.0100695056196,6.69120985781436,"AlignWeight",0
"149","47",42,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.36069518892307,6.30695498249477,"AlignWeight",0
"149","48",43,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.58164181719793,6.35247238170967,"AlignWeight",0
"149","49",44,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.61031074531869,6.43946304017817,"AlignWeight",0
"149","5",45,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.87737824505644,6.61097769661884,"AlignWeight",0
"149","50",46,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,3.58378959335981,5.98812680552024,"AlignWeight",0
"149","6",47,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,4.21503315349973,6.52531527542613,"AlignWeight",0
"149","7",48,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,4.77427160633042,6.34132129028635,"AlignWeight",0
"149","8",49,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,2,1,1,10,NA,NA,0,0,4.13345616855658,6.72506724480338,"AlignWeight",0
