"RealSetNum","RealRepNum","RepNum","Model","AgentStepTime","NumAgents","Neighbors","FractionInformed","AvoidRadius","AlignRadius","AttractRadius","AlignYIntercept","ObstacleRadius","ObsVisibility","TurnRate","AvoidWeight","AlignWeight","AttractWeight","ObstacleWeight","numCaught","MeanGoalTime","MedianGoalTime","NumSucceed","SuccessRate","meanPersY","meanPersX","flockingEscape","whichParam"
"1","5",45,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.64083166696544,6.64900768510922,0,"AgentStepTime"
"1","50",46,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.13611680174244,6.49020285224414,0,"AgentStepTime"
"1","6",47,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,254.709999999913,254.709999999913,1,0.1,3.04085293371101,6.54612708865214,0,"AgentStepTime"
"1","7",48,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NA,NA,0,0,3.66034921248598,6.55565128122213,0,"AgentStepTime"
"1","8",49,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,160.499999999999,160.499999999999,1,0.1,3.75566857173905,6.95431128471931,0,"AgentStepTime"
"1","9",50,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,295.169999999877,295.169999999877,1,0.1,3.15814590679083,6.5422719635741,0,"AgentStepTime"
"10","1",1,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,133.009000000024,131.545000000026,10,1,26.8225401813362,39.063945406712,1,"AgentStepTime"
"10","10",2,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,91.9475000000101,91.3650000000098,8,0.8,29.1273201664581,17.0798821301273,1,"AgentStepTime"
"10","11",3,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,103.853000000016,103.620000000016,10,1,12.6721968030447,39.0178531004177,1,"AgentStepTime"
"10","12",4,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,211.065999999953,211.259999999953,10,1,68.3790262121613,35.6935206525725,1,"AgentStepTime"
