FileName,SetNum,RepNum,Model,AgentStepTime,NumAgents,Neighbors,FractionInformed,AvoidRadius,AlignRadius,AttractRadius,AlignYIntercept,ObstacleRadius,ObsVisibility,TurnRate,AvoidWeight,AlignWeight,AttractWeight,ObstacleWeight,Agent,GoalReachTimes,minimumYs,extremeXs,maximumYs
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep13.mat,1,5,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NaN,15.954405456573,6.37804979221334,23.2933618376101
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep14.mat,1,6,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,1,NaN,17.3088147434798,6.39997157951733,23.2439523364
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep14.mat,1,6,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,2,NaN,17.4087327509296,6.75042745817172,23.3218879141527
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep14.mat,1,6,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,3,NaN,13.7953397771253,7.4840070988823,23.3348250380523
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep14.mat,1,6,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,4,NaN,16.0871849717089,6.46168812093065,23.2356593119464
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep14.mat,1,6,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,5,NaN,15.3117530116379,6.8313030706694,23.1375203673359
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep14.mat,1,6,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,6,NaN,16.7436069564053,6.93033080350232,23.1944890127099
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep14.mat,1,6,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,7,NaN,17.3308871215459,6.29081729792421,23.214292265577
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep14.mat,1,6,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,8,NaN,16.4986886038913,6.52423340392342,23.2614863022854
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep14.mat,1,6,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,9,NaN,14.4656407216662,6.66181233227968,23.1293671438356
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep14.mat,1,6,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,10,NaN,16.7909845474587,6.48546151585387,23.2337978797626
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep15.mat,1,7,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,1,NaN,18.2262359131278,6.47263389337859,23.1601932577512
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep15.mat,1,7,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,2,NaN,17.0718885720204,6.34148172095383,23.1920350796157
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep15.mat,1,7,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,3,NaN,17.2784186902605,6.22818795152041,23.283578977055
/Users/helen/Documents/JSMFpostdoc/projects/collectiveMovementAndObstacles/Obstacle-avoiding-agents/data/data20201020/ParameterSet148/Rep15.mat,1,7,0,0.01,10,7,1,1,5,10,0.6,1,1,2,1,1,1,1,4,NaN,17.399486820342,6.15935575477016,23.2494516301869
