parameterSet,totalSimulationTime,physicsStepTime,obstacleType,obstacleScale,arcAngle,gapSize,modelCalovi,agentStepTime,numberOfAgents,numberOfNeighbors,fractionInformed,avoidDistance,alignDistance,attractDistance,alignYintercept,obstacleDistance,obstacleVisibility,turnRate,avoidWeight,alignWeight,attractWeight,obstacleWeight
125,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,2,36.3,1,6.56
126,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,2,36.3,1,6.56
127,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,5,36.3,1,6.56
128,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,5,36.3,1,6.56
129,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,10,36.3,1,6.56
130,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,10,36.3,1,6.56
131,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,20,36.3,1,6.56
132,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,20,36.3,1,6.56
133,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,50,36.3,1,6.56
134,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,50,36.3,1,6.56
135,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,0.1,1,6.56
136,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,0.1,1,6.56
137,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,6.56
138,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,1,1,6.56
139,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,2,1,6.56
140,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,2,1,6.56
141,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,5,1,6.56
142,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,5,1,6.56
143,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,6.56
144,300,0.01,3,15,3.141592654,0,1,0.1,10,7,1,1,5,10,0.6,1,1,2,1,10,1,6.56
145,300,0.01,3,15,3.141592654,0,0,0.1,10,7,1,1,5,10,0.6,1,1,2,1,20,1,6.56
